0,0,0,0,1,1,0,1,5,6,3,2,4096,7,2,4,2,1,0,0,0,0,0,7,8,2,2,2,7,10,0,3,1,3,not packed
0,0,0,0,1,1,0,0,3,4,4,2,4096,7,2,4,2,1,0,0,0,0,0,7,9,3,2,2,6,9,0,3,1,3,not packed
0,0,0,0,1,1,0,0,4,5,3,2,4096,7,2,4,2,1,0,0,0,0,0,7,9,2,2,2,8,10,0,3,1,3,not packed
0,0,0,0,0,1,0,1,5,5,4,2,4096,7,2,4,2,1,0,0,0,0,0,7,9,3,3,2,8,10,0,3,1,3,not packed
0,0,0,1,0,1,0,1,6,3,1,1,4096,3,0,0,2,1,0,0,0,0,0,6,5,3,3,5,8,9,2,6,1,-1,not packed
0,0,0,1,1,1,0,1,7,2,1,1,4096,3,0,0,2,1,0,0,0,0,0,7,7,3,2,5,8,10,0,6,0,1,not packed
0,0,0,0,1,1,0,0,3,3,4,2,4096,7,2,4,2,1,0,0,0,0,0,8,8,2,3,2,6,9,0,5,1,3,not packed
0,0,0,0,0,1,0,0,3,3,3,2,4096,6,2,3,2,1,0,0,0,0,0,8,8,2,2,2,6,9,0,5,1,-1,not packed
0,0,0,0,1,1,0,3,8,5,1,1,4096,4,0,0,2,1,0,0,0,0,0,7,5,3,4,4,7,10,0,5,0,6,not packed
0,0,0,0,1,1,0,0,4,5,4,2,4096,7,2,4,2,1,0,0,0,0,0,7,8,2,3,2,8,10,0,4,1,3,not packed
0,0,0,0,1,1,0,0,4,5,3,2,4096,7,2,4,2,1,0,0,0,0,0,8,8,2,3,2,8,10,0,2,1,3,not packed
0,0,0,0,1,1,0,0,5,5,4,2,4096,6,1,3,2,1,0,0,0,0,0,7,8,3,2,1,7,9,0,6,1,-1,not packed
0,0,0,0,1,1,0,0,3,3,3,2,4096,7,2,4,2,1,0,0,0,0,0,9,8,2,2,2,6,9,0,5,1,3,not packed
0,0,0,0,0,1,0,1,7,2,3,2,4096,4,0,2,2,1,0,0,0,0,0,7,8,4,3,1,8,8,0,-1,1,-1,not packed
0,0,0,0,0,1,0,0,3,4,3,2,4096,7,2,4,2,1,0,0,0,0,0,8,8,3,2,2,7,10,0,4,1,3,not packed
0,0,0,0,1,1,0,0,4,3,1,0,4096,2,0,0,2,1,0,0,0,0,0,8,5,4,2,3,6,8,3,4,1,-1,not packed
0,0,0,0,2,1,0,2,5,8,1,1,4096,4,0,0,2,1,0,0,0,0,0,7,7,3,4,5,8,10,0,6,0,6,not packed
0,0,0,0,1,1,0,0,4,4,3,2,4096,7,2,4,2,1,0,0,0,0,0,7,8,3,2,2,7,10,0,4,1,3,not packed
1,0,0,1,1,1,1,2,7,6,1,1,4096,4,0,0,2,1,0,0,0,0,0,7,7,3,3,5,9,9,0,5,1,1,not packed
0,0,0,0,1,1,0,1,5,5,3,2,4096,7,2,4,2,1,0,0,0,0,0,7,8,3,2,2,8,10,0,4,1,3,not packed
0,0,0,0,0,1,0,0,3,3,3,2,4096,7,2,4,2,1,0,0,0,0,0,8,8,2,3,2,6,10,0,4,1,3,not packed
0,0,0,0,0,1,0,0,3,3,4,2,4096,7,2,4,2,1,0,0,0,0,0,7,8,3,2,2,6,9,0,4,1,3,not packed
0,0,0,0,1,1,0,1,5,6,3,2,4096,7,2,4,2,1,0,0,0,0,0,7,9,2,2,2,8,10,0,2,1,3,not packed
0,0,0,1,2,1,0,6,9,9,1,1,4096,4,0,0,2,1,0,0,0,0,0,7,5,4,3,5,8,10,0,6,0,7,not packed
0,0,0,0,0,1,0,0,3,4,3,2,4096,7,2,4,2,1,0,0,0,0,0,8,8,2,3,2,7,10,0,4,1,3,not packed
1,0,0,0,1,2,0,0,4,2,1,1,8192,3,0,0,2,1,0,0,0,0,0,9,9,2,-1,2,2,1,0,2,0,1,not packed
0,0,0,0,1,1,0,1,6,5,1,1,4096,4,0,0,2,1,0,0,0,0,0,7,5,3,3,5,9,10,0,4,0,6,not packed
0,0,0,0,0,1,0,0,4,4,4,2,4096,6,3,3,2,1,0,0,0,0,0,8,9,2,3,2,4,9,0,4,0,-1,not packed
0,0,0,0,1,1,0,0,3,4,3,2,4096,7,2,4,2,1,0,0,0,0,0,7,8,3,2,2,7,10,0,4,1,3,not packed
0,0,0,0,0,1,0,0,3,3,3,2,4096,7,2,4,2,1,0,0,0,0,0,8,8,2,2,2,6,9,0,4,1,3,not packed
0,0,0,0,1,1,0,1,5,5,3,2,4096,7,2,4,2,1,0,0,0,0,0,7,8,3,3,2,8,10,0,3,1,3,not packed
0,0,0,0,1,1,0,1,6,6,3,2,4096,6,2,4,2,1,0,0,0,0,0,7,9,3,2,2,7,9,1,-1,1,-1,not packed
0,0,0,0,0,1,0,4,9,7,1,1,4096,4,0,0,2,1,0,0,0,0,0,7,5,3,3,5,8,10,0,4,1,7,not packed
0,0,0,0,0,1,0,0,3,3,3,2,4096,7,2,4,2,1,0,0,0,0,0,8,8,2,2,2,6,9,0,4,1,3,not packed
0,0,0,0,1,1,0,0,3,3,3,2,4096,7,2,4,2,1,0,0,0,0,0,8,8,2,2,2,6,9,0,4,1,3,not packed
0,0,0,0,0,1,0,0,3,4,3,2,4096,7,2,4,2,1,0,0,0,0,0,8,8,2,2,2,7,10,0,4,1,3,not packed
1,0,0,0,1,2,0,1,6,3,1,1,8192,3,0,0,2,1,0,0,0,0,0,9,9,2,-1,2,7,1,0,2,0,4,not packed
0,0,0,0,0,1,0,0,3,3,3,2,4096,7,2,4,2,1,0,0,0,0,0,8,8,2,2,2,6,10,0,4,1,3,not packed
1,0,0,1,2,1,1,3,9,6,1,1,4096,4,0,0,2,1,0,0,0,0,0,7,6,3,3,5,9,10,0,4,0,1,not packed
0,0,0,0,0,1,0,0,3,4,3,2,4096,7,2,4,2,1,0,0,0,0,0,8,8,2,2,2,7,10,0,4,1,3,not packed
0,0,0,1,1,1,0,1,7,3,1,1,4096,4,0,0,2,1,0,0,0,0,0,7,8,3,2,5,9,10,0,5,0,0,not packed
1,0,0,0,0,2,0,0,4,2,1,1,8192,3,0,0,2,1,0,0,0,0,0,9,9,2,-1,2,2,1,0,2,0,1,not packed
0,0,0,0,0,1,0,4,9,7,1,1,4096,4,0,0,2,1,0,0,0,0,0,7,5,3,4,5,8,10,0,4,1,7,not packed
0,0,0,0,1,1,0,1,6,4,1,1,4096,4,0,0,2,1,0,0,0,0,0,7,5,3,3,4,9,10,0,5,0,6,not packed
0,0,0,0,1,1,0,2,7,5,1,1,4096,4,0,0,2,1,0,0,0,0,0,7,5,3,3,5,9,10,0,3,0,7,not packed
0,0,0,0,0,1,0,1,5,3,1,1,4096,4,0,0,2,1,0,0,0,0,0,7,5,3,3,4,8,10,0,-1,1,6,not packed
0,0,0,0,0,1,0,0,3,3,3,2,4096,7,2,4,2,1,0,0,0,0,0,8,8,3,2,2,6,9,0,5,1,3,not packed
0,0,0,0,1,1,0,0,3,3,3,2,4096,7,2,4,2,1,0,0,0,0,0,8,8,2,2,2,6,9,0,5,1,3,not packed
0,0,0,0,0,1,0,0,6,2,1,1,4096,3,0,0,2,1,0,0,0,0,0,7,8,3,3,5,8,9,0,5,1,-1,not packed
0,0,0,0,1,1,0,1,5,5,3,2,4096,7,2,4,2,1,0,0,0,0,0,7,8,2,2,2,8,10,0,4,1,3,not packed
0,0,0,1,2,1,0,8,10,10,1,1,4096,4,0,0,2,1,0,0,0,0,0,6,4,3,4,5,9,10,0,6,1,7,not packed
0,0,0,0,1,1,0,0,4,4,3,2,4096,7,2,4,2,1,0,0,0,0,0,8,8,3,2,2,7,10,0,4,1,3,not packed
0,0,0,0,1,1,0,0,3,4,3,2,4096,7,2,4,2,1,0,0,0,0,0,8,8,2,2,2,7,10,0,4,1,3,not packed
0,0,0,0,0,1,0,0,3,4,3,2,4096,7,2,4,2,1,0,0,0,0,0,8,8,3,2,2,7,9,0,4,1,3,not packed
0,0,0,0,1,1,0,2,5,6,4,2,4096,7,2,4,2,1,0,0,0,0,0,7,8,2,3,2,5,10,0,4,1,3,not packed
0,0,0,0,1,1,0,0,4,5,3,2,4096,7,2,4,2,1,0,0,0,0,0,8,8,2,2,2,7,10,0,4,1,3,not packed
0,0,0,0,0,1,0,1,4,5,1,1,4096,4,0,0,2,1,0,0,0,0,0,7,7,4,3,3,7,9,1,4,1,5,not packed
0,0,0,0,0,1,0,0,3,3,3,2,4096,7,2,4,2,1,0,0,0,0,0,8,8,2,2,2,6,10,0,4,1,3,not packed
1,0,0,1,0,1,1,0,3,2,1,1,4096,5,0,0,2,1,0,0,0,0,0,9,7,3,3,4,4,8,1,6,0,0,not packed
0,0,0,0,0,1,0,0,3,4,3,2,4096,7,2,4,2,1,0,0,0,0,0,8,8,2,2,2,7,10,0,4,1,3,not packed
0,0,0,0,1,1,0,5,5,5,5,2,4096,7,2,4,2,1,0,0,0,0,0,7,8,3,2,2,0,10,0,4,1,3,not packed
0,0,0,0,0,1,0,1,5,4,1,1,4096,4,0,0,2,1,0,0,0,0,0,8,8,3,3,4,8,10,0,5,1,4,not packed
0,0,0,0,0,1,0,0,3,4,3,2,4096,7,2,4,2,1,0,0,0,0,0,8,9,2,2,2,7,9,0,4,1,3,not packed
0,0,0,0,1,1,0,1,4,5,3,2,4096,7,2,4,2,1,0,0,0,0,0,8,8,3,3,2,7,10,0,4,1,3,not packed
0,0,0,0,0,1,0,0,5,2,2,2,4096,4,0,2,2,1,0,0,0,0,0,7,8,3,2,0,7,8,0,-1,1,-1,not packed
0,0,0,0,1,1,0,0,4,4,3,2,4096,7,2,4,2,1,0,0,0,0,0,8,8,2,3,2,7,10,0,4,1,3,not packed
0,0,0,0,0,1,0,0,3,4,3,2,4096,7,2,4,2,1,0,0,0,0,0,8,8,2,2,2,7,10,0,4,1,3,not packed
0,0,0,0,1,1,0,0,4,4,3,2,4096,7,2,4,2,1,0,0,0,0,0,7,8,2,2,2,7,10,0,3,1,3,not packed
0,0,0,1,0,1,0,0,4,2,1,1,4096,3,0,0,2,1,0,0,0,0,0,7,6,3,3,5,7,9,0,4,0,1,not packed
1,0,0,1,1,1,0,0,5,2,1,1,4096,3,0,0,2,1,0,0,0,0,0,7,5,3,3,5,8,9,1,4,0,2,not packed
0,0,0,0,1,1,0,0,4,5,3,2,4096,7,2,4,2,1,0,0,0,0,0,7,8,2,3,2,7,10,0,4,1,3,not packed
0,0,0,0,1,1,0,2,4,7,1,1,4096,3,0,0,2,1,0,0,0,0,0,9,7,3,4,5,8,8,3,4,1,-1,not packed
0,0,0,0,1,1,0,0,4,4,3,2,4096,7,2,4,2,1,0,0,0,0,0,8,8,3,3,2,7,10,0,4,1,3,not packed
0,0,0,0,1,1,0,1,4,5,3,2,4096,7,2,4,2,1,0,0,0,0,0,8,8,2,2,2,8,10,0,4,1,3,not packed
0,0,0,0,1,1,0,0,4,4,4,2,4096,6,2,4,2,1,0,0,0,0,0,8,8,3,2,1,4,8,1,-1,1,-1,not packed
0,0,0,0,1,1,0,0,4,5,3,2,4096,7,2,4,2,1,0,0,0,0,0,8,8,2,2,2,7,10,0,4,1,3,not packed
0,0,0,0,0,1,0,0,3,3,3,2,4096,7,2,4,2,1,0,0,0,0,0,9,8,2,2,2,6,8,0,3,1,3,not packed
0,0,0,0,1,1,0,0,4,5,3,2,4096,7,2,4,2,1,0,0,0,0,0,7,9,2,3,2,8,10,0,3,1,3,not packed
0,0,0,0,1,1,0,0,3,4,3,2,4096,7,2,4,2,1,0,0,0,0,0,8,8,3,2,2,7,9,0,6,1,3,not packed
0,0,0,0,1,1,0,1,4,5,3,2,4096,7,2,4,2,1,0,0,0,0,0,7,9,2,2,2,8,10,0,4,1,3,not packed
0,0,0,0,1,1,0,0,5,4,1,1,4096,4,0,0,2,1,0,0,0,0,0,9,8,3,3,4,8,8,3,6,1,0,not packed
0,0,0,0,1,1,0,0,4,4,3,2,4096,7,2,4,2,1,0,0,0,0,0,7,8,2,2,2,7,10,0,3,1,3,not packed
0,0,0,0,1,1,0,1,5,6,3,2,4096,7,2,4,2,1,0,0,0,0,0,7,8,3,3,2,8,10,0,3,1,3,not packed
1,0,0,1,0,1,1,0,3,2,1,1,4096,5,0,0,2,1,0,0,0,0,0,8,8,3,3,4,3,8,0,6,0,0,not packed
0,0,0,0,1,1,0,0,4,4,1,1,4096,4,0,0,2,1,0,0,0,0,0,8,8,3,3,4,9,10,0,4,1,3,not packed
0,0,0,0,0,1,0,0,4,5,3,2,4096,7,2,4,2,1,0,0,0,0,0,8,8,3,3,2,7,10,0,3,1,3,not packed
0,0,0,0,0,1,0,0,3,4,3,2,4096,7,2,4,2,1,0,0,0,0,0,7,8,2,2,2,7,9,0,3,1,3,not packed
0,0,0,0,1,1,0,0,3,3,3,2,4096,7,2,4,2,1,0,0,0,0,0,7,8,2,2,2,6,8,1,3,1,3,not packed
0,0,0,1,1,1,0,3,9,5,1,1,4096,4,0,0,2,1,0,0,0,0,0,7,6,3,3,4,9,10,1,6,0,1,not packed
0,0,0,0,0,1,0,1,4,5,3,2,4096,7,2,4,2,1,0,0,0,0,0,7,8,3,3,2,7,10,0,4,1,3,not packed
0,0,0,0,0,1,0,0,3,3,1,1,4096,4,0,0,2,1,0,0,0,0,0,8,5,3,4,0,8,9,1,5,1,4,not packed
0,0,0,1,2,1,0,6,9,8,1,1,4096,4,0,0,2,1,0,0,0,0,0,7,5,3,3,5,8,10,0,4,0,7,not packed
0,0,0,0,1,1,0,2,4,7,1,1,4096,3,0,0,2,1,0,0,0,0,0,8,7,3,4,5,8,8,3,4,1,-1,not packed
0,0,0,0,1,1,0,0,4,5,3,2,4096,7,2,4,2,1,0,0,0,0,0,8,8,3,2,2,7,9,0,3,1,3,not packed
0,0,0,0,0,1,0,0,4,4,3,2,4096,7,2,4,2,1,0,0,0,0,0,8,8,2,2,2,7,10,0,3,1,3,not packed
0,0,0,0,0,1,0,0,2,2,1,1,4096,4,0,0,2,1,0,0,0,0,0,8,7,2,3,4,2,8,1,6,0,1,not packed
0,0,0,0,0,1,0,7,10,7,1,1,4096,8,0,1,2,1,0,0,0,0,0,5,3,3,4,0,9,10,0,-1,1,7,not packed
0,0,0,0,0,1,0,0,4,5,3,2,4096,7,2,4,2,1,0,0,0,0,0,7,9,2,3,2,8,10,0,4,1,3,not packed
0,0,0,0,1,1,0,0,3,4,3,2,4096,7,2,4,2,1,0,0,0,0,0,7,8,2,2,2,7,10,0,3,1,3,not packed
0,0,0,0,1,1,0,0,4,3,2,2,4096,5,0,2,2,1,0,0,0,0,0,8,8,3,3,1,8,8,1,-1,1,-1,not packed
0,0,0,0,1,1,0,0,3,3,3,2,4096,6,2,3,2,1,0,0,0,0,0,7,8,3,2,2,7,8,0,2,1,-1,not packed
0,0,0,0,1,1,0,0,4,5,3,2,4096,7,2,4,2,1,0,0,0,0,0,8,8,2,2,2,8,10,0,3,1,3,not packed
0,0,0,1,2,1,0,7,9,10,1,1,4096,4,0,0,2,1,0,0,0,0,0,7,5,4,3,5,1,10,0,4,0,5,not packed
1,0,0,1,1,1,1,2,7,6,1,1,4096,4,0,0,2,1,0,0,0,0,0,7,6,3,3,5,9,9,1,4,1,1,not packed
0,0,0,0,0,1,0,0,3,3,3,2,4096,7,2,4,2,1,0,0,0,0,0,8,8,2,2,2,6,10,0,4,1,3,not packed
0,0,0,0,1,1,0,0,3,3,3,2,4096,7,2,4,2,1,0,0,0,0,0,8,9,2,2,2,6,10,0,4,1,3,not packed
0,0,0,1,2,1,0,7,9,9,1,1,4096,4,0,0,2,1,0,0,0,0,0,6,5,3,4,4,4,10,0,5,0,7,not packed
0,0,0,0,1,1,0,1,4,5,3,2,4096,7,2,4,2,1,0,0,0,0,0,7,8,2,3,2,7,10,0,4,1,3,not packed
0,0,0,0,1,1,0,1,5,6,3,2,4096,7,2,4,2,1,0,0,0,0,0,7,8,3,3,2,7,10,0,3,1,3,not packed
0,0,0,0,1,1,0,1,6,5,1,1,4096,4,0,0,2,1,0,0,0,0,0,7,7,4,3,4,8,10,1,4,0,4,not packed
0,0,0,0,1,1,0,0,3,3,2,2,4096,6,2,3,2,1,0,0,0,0,0,7,9,3,2,1,2,8,1,4,1,-1,not packed
0,0,0,0,0,1,0,0,3,3,3,2,4096,7,2,4,2,1,0,0,0,0,0,8,8,3,2,2,6,9,0,6,1,3,not packed
0,0,0,0,1,1,0,0,3,3,3,2,4096,7,2,4,2,1,0,0,0,0,0,8,8,2,2,2,6,9,0,3,1,3,not packed
1,0,0,1,2,1,1,5,9,9,1,1,4096,4,0,0,2,1,0,0,0,0,0,7,4,3,3,5,8,10,0,6,1,1,not packed
0,0,0,0,1,1,0,1,5,5,3,2,4096,7,2,4,2,1,0,0,0,0,0,8,8,2,3,2,8,10,0,4,1,3,not packed
0,0,0,0,1,1,0,1,5,5,4,2,4096,7,2,4,2,1,0,0,0,0,0,7,8,3,2,2,7,10,0,4,1,3,not packed
1,0,0,0,1,2,0,0,5,2,1,1,8192,3,0,0,2,1,0,0,0,0,0,9,9,2,-1,2,6,1,0,2,0,1,not packed
0,0,0,0,1,1,0,0,3,4,3,2,4096,7,2,4,2,1,0,0,0,0,0,7,8,2,2,2,7,10,0,3,1,3,not packed
0,0,0,0,0,1,0,1,3,4,4,2,4096,7,2,4,2,1,0,0,0,0,0,8,9,2,2,2,5,10,0,3,1,3,not packed
0,0,0,0,1,1,0,0,3,4,3,2,4096,7,2,4,2,1,0,0,0,0,0,8,9,2,2,2,7,10,0,5,1,3,not packed
0,0,0,0,0,1,0,0,3,3,3,2,4096,7,2,4,2,1,0,0,0,0,0,7,8,3,2,2,6,9,0,6,1,3,not packed
0,0,0,0,0,1,0,0,4,5,1,1,4096,4,0,0,2,1,0,0,0,0,0,8,8,3,3,5,8,10,1,4,1,2,not packed
0,0,0,0,0,1,0,1,5,4,1,1,4096,4,0,0,2,1,0,0,0,0,0,9,7,3,2,4,7,10,0,-1,1,6,not packed
0,0,0,0,0,1,0,0,2,2,2,2,4096,6,2,3,2,1,0,0,0,0,0,9,9,2,2,1,8,8,1,5,1,-1,not packed
0,0,0,0,1,1,0,0,3,4,3,2,4096,7,2,4,2,1,0,0,0,0,0,7,8,3,3,2,7,10,0,4,1,3,not packed
1,0,0,0,0,2,0,0,3,2,1,1,8192,3,0,0,2,1,0,0,0,0,0,9,9,2,-1,2,1,1,0,2,0,1,not packed
0,0,0,0,0,1,0,6,10,7,1,1,4096,5,3,3,2,1,0,1,1,1,0,7,8,-1,-1,0,9,10,0,-1,1,7,not packed
0,0,0,0,0,1,0,9,4,4,5,2,4096,7,2,4,2,1,0,0,0,0,0,8,8,2,2,2,0,10,0,4,1,3,not packed
0,0,0,0,0,1,0,0,3,3,3,2,4096,7,2,4,2,1,0,0,0,0,0,8,8,2,2,2,5,8,1,4,1,3,not packed
0,0,0,0,1,1,0,1,4,4,4,2,4096,7,2,4,2,1,0,0,0,0,0,8,8,2,2,2,3,10,0,4,1,3,not packed
1,0,0,0,1,2,0,0,5,2,1,1,8192,3,0,0,2,1,0,0,0,0,0,9,9,2,-1,2,4,1,0,2,0,1,not packed
0,0,0,0,0,1,0,0,3,3,3,2,4096,7,2,4,2,1,0,0,0,0,0,8,8,2,2,2,7,10,0,4,1,3,not packed
0,0,0,0,1,1,0,2,3,4,5,2,4096,7,2,4,2,1,0,0,0,0,0,8,8,3,2,2,1,9,0,6,1,3,not packed
0,0,0,0,1,1,0,0,3,3,3,2,4096,7,2,4,2,1,0,0,0,0,0,8,8,3,2,2,6,8,0,5,1,3,not packed
0,0,0,1,2,1,0,5,9,6,1,1,4096,4,0,0,2,1,0,0,0,0,0,7,5,4,3,4,9,10,0,5,0,5,not packed
0,0,0,0,1,1,0,1,5,5,4,2,4096,6,1,3,2,1,0,0,0,0,0,7,8,3,2,2,7,10,0,6,1,-1,not packed
1,0,0,1,2,1,1,9,10,10,1,1,4096,4,0,0,2,1,0,0,0,0,0,6,4,3,4,5,9,10,0,5,0,7,not packed
0,0,0,0,1,1,0,5,5,6,5,2,4096,7,2,4,2,1,0,0,0,0,0,7,8,3,3,2,0,10,0,3,1,3,not packed
0,0,0,0,1,1,0,0,3,3,3,2,4096,7,2,4,2,1,0,0,0,0,0,9,8,2,2,2,6,9,0,5,1,3,not packed
0,0,0,0,1,1,0,0,4,4,3,2,4096,7,2,4,2,1,0,0,0,0,0,7,8,2,2,2,7,10,0,4,1,3,not packed
0,0,0,0,1,1,0,0,4,4,3,2,4096,7,2,4,2,1,0,0,0,0,0,7,9,2,3,2,7,10,0,4,1,3,not packed
0,0,0,0,1,1,0,2,4,7,1,1,4096,3,0,0,2,1,0,0,0,0,0,8,7,3,4,4,8,8,2,4,1,-1,not packed
1,0,0,1,0,1,1,0,3,2,1,1,4096,5,0,0,2,1,0,0,0,0,0,9,6,3,3,4,3,8,1,6,0,0,not packed
1,0,0,1,2,1,1,5,8,9,1,1,4096,4,0,0,2,1,0,0,0,0,0,7,5,3,3,5,9,10,1,5,1,1,not packed
0,0,0,0,0,1,0,0,4,4,3,2,4096,7,2,4,2,1,0,0,0,0,0,8,8,2,2,2,7,10,0,4,1,3,not packed
1,0,0,0,0,2,0,0,3,2,1,1,8192,3,0,0,2,1,0,0,0,0,0,9,9,2,-1,2,1,1,0,2,0,1,not packed
1,0,0,1,1,1,1,3,8,7,1,1,4096,4,0,0,2,1,0,0,0,0,0,7,6,3,3,5,8,9,0,6,1,1,not packed
0,0,0,0,0,1,0,0,3,4,3,2,4096,7,2,4,2,1,0,0,0,0,0,8,8,2,2,2,6,10,0,2,1,4,not packed
0,0,0,0,1,1,0,0,3,3,3,2,4096,7,2,4,2,1,0,0,0,0,0,8,8,2,2,2,6,9,0,6,1,3,not packed
0,0,0,0,0,1,0,1,4,4,4,2,4096,7,2,4,2,1,0,0,0,0,0,8,8,3,3,2,1,9,0,4,1,3,not packed
0,0,0,0,0,1,0,4,4,4,5,2,4096,5,0,2,2,1,0,0,0,0,0,8,8,3,3,1,0,8,0,-1,1,-1,not packed
1,0,0,1,2,1,1,3,9,6,1,1,4096,4,0,0,2,1,0,0,0,0,0,7,6,3,3,5,9,10,1,4,0,1,not packed
0,0,0,0,0,1,0,6,10,8,1,0,4096,4,0,0,2,1,0,0,0,0,0,7,4,4,4,5,9,10,0,4,1,7,not packed
0,0,0,0,1,1,0,0,4,5,3,2,4096,7,2,4,2,1,0,0,0,0,0,8,9,2,3,2,8,10,0,4,1,3,not packed
0,0,0,0,0,1,0,7,10,9,1,1,4096,5,3,3,2,1,0,1,1,1,0,6,8,-1,-1,0,9,10,0,-1,1,7,not packed
0,0,0,1,0,1,0,0,3,2,1,1,4096,4,0,0,2,1,0,0,0,0,0,8,8,2,2,4,5,8,0,5,0,0,not packed
0,0,0,0,0,1,0,0,4,4,3,2,4096,7,2,4,2,1,0,0,0,0,0,8,8,2,3,2,7,10,0,4,1,3,not packed
0,0,0,0,0,1,0,0,3,3,3,2,4096,7,2,4,2,1,0,0,0,0,0,8,9,3,2,2,6,9,0,6,1,3,not packed
0,0,0,0,0,1,0,1,7,2,3,2,4096,4,0,2,2,1,0,0,0,0,0,7,8,3,2,0,8,9,0,-1,1,-1,not packed
0,0,0,0,0,1,0,0,3,3,3,2,4096,7,2,4,2,1,0,0,0,0,0,8,8,2,2,2,7,9,0,3,1,3,not packed
0,0,0,0,0,1,0,0,3,3,3,2,4096,7,2,4,2,1,0,0,0,0,0,8,8,3,2,2,6,9,0,6,1,3,not packed
0,0,0,0,0,1,0,0,3,4,3,2,4096,7,2,4,2,1,0,0,0,0,0,8,8,2,2,2,7,10,0,4,1,3,not packed
0,0,0,0,0,1,0,0,3,4,1,1,4096,4,0,0,2,1,0,0,0,0,0,9,8,2,3,4,4,10,0,2,1,4,not packed
1,0,0,1,2,1,1,6,9,9,1,1,4096,4,0,0,2,1,0,0,0,0,0,7,7,3,3,5,4,10,0,4,0,1,not packed
0,0,0,0,0,1,0,0,3,2,1,1,4096,4,0,0,2,1,0,0,0,0,0,9,8,2,2,4,2,10,0,4,1,3,not packed
0,0,0,0,0,1,0,6,10,7,1,1,4096,4,0,0,2,1,0,0,0,0,0,7,7,4,3,5,9,10,0,4,1,6,not packed
0,0,0,0,1,1,0,0,3,4,3,2,4096,7,2,4,2,1,0,0,0,0,0,7,8,2,2,2,7,10,0,4,1,3,not packed
0,0,0,0,1,1,0,1,3,4,4,2,4096,7,2,4,2,1,0,0,0,0,0,8,8,2,3,2,5,10,0,3,1,3,not packed
0,0,0,0,1,1,0,0,4,5,3,2,4096,7,2,4,2,1,0,0,0,0,0,8,9,2,2,2,8,10,0,3,1,3,not packed
1,0,0,1,1,1,1,2,7,6,1,1,4096,4,0,0,2,1,0,0,0,0,0,7,6,3,3,5,9,9,0,4,1,1,not packed
0,0,0,0,1,1,0,0,3,3,3,2,4096,7,2,4,2,1,0,0,0,0,0,8,8,2,2,2,7,9,0,2,1,3,not packed
0,0,0,0,0,1,0,0,4,4,3,2,4096,7,2,4,2,1,0,0,0,0,0,8,8,3,3,2,7,10,0,4,1,3,not packed
0,0,0,0,1,1,0,0,4,4,3,2,4096,7,2,4,2,1,0,0,0,0,0,8,8,2,2,2,7,10,0,4,1,3,not packed
0,0,0,0,1,1,0,1,5,6,3,2,4096,7,2,4,2,1,0,0,0,0,0,7,8,2,3,2,8,10,0,3,1,3,not packed
0,0,0,0,0,1,0,1,7,5,1,1,4096,4,0,0,2,1,0,0,0,0,0,7,5,3,3,4,9,10,0,-1,1,6,not packed
0,0,0,0,1,1,0,1,5,6,3,2,4096,7,2,4,2,1,0,0,0,0,0,7,8,2,2,2,8,10,0,6,1,3,not packed
0,0,0,0,1,1,0,1,5,6,3,2,4096,7,2,4,2,1,0,0,0,0,0,8,8,2,2,2,8,10,0,2,1,3,not packed
1,0,0,1,1,1,1,2,8,6,1,1,4096,4,0,0,2,1,0,0,0,0,0,7,6,3,3,5,9,9,0,4,0,1,not packed
0,0,0,0,0,1,0,0,3,4,3,2,4096,7,2,4,2,1,0,0,0,0,0,8,8,2,2,2,7,10,0,3,1,3,not packed
0,0,0,0,0,1,0,1,7,5,1,1,4096,4,0,0,2,1,0,0,0,0,0,7,5,3,3,4,8,10,0,-1,1,6,not packed
0,0,0,0,1,1,0,1,5,4,1,1,4096,2,3,0,3,1,0,1,1,1,0,7,5,-1,-1,2,7,9,1,4,1,5,not packed
0,0,0,0,0,1,0,9,10,10,1,1,4096,9,2,3,3,1,0,1,1,1,0,8,8,3,4,1,9,10,0,4,1,7,not packed
1,0,0,1,1,1,0,1,8,2,1,1,4096,3,0,0,2,1,0,0,0,0,0,7,6,3,3,5,9,10,0,4,0,1,not packed
1,0,0,1,1,1,1,2,8,6,1,1,4096,4,0,0,2,1,0,0,0,0,0,7,6,3,3,5,8,9,0,5,1,1,not packed
0,0,0,0,1,1,0,0,3,4,3,2,4096,7,2,4,2,1,0,0,0,0,0,8,8,2,3,2,7,10,0,2,1,3,not packed
0,0,0,0,1,1,0,0,4,4,3,2,4096,7,2,4,2,1,0,0,0,0,0,8,8,2,2,2,7,10,0,3,1,3,not packed
0,0,0,0,0,1,0,0,3,3,3,2,4096,7,2,4,2,1,0,0,0,0,0,8,8,2,2,2,6,9,0,4,1,3,not packed
0,0,0,0,1,1,0,0,3,3,4,2,4096,7,2,4,2,1,0,0,0,0,0,7,8,2,3,2,6,9,0,4,1,3,not packed
0,0,0,1,1,1,0,0,4,2,1,1,4096,3,0,0,2,1,0,0,0,0,0,7,6,3,3,4,8,9,0,4,0,4,not packed
0,0,0,0,1,1,0,1,6,5,1,1,4096,4,0,0,2,1,0,0,0,0,0,7,5,3,3,5,9,10,0,4,0,6,not packed
0,0,0,0,2,1,0,4,8,8,1,1,4096,4,0,0,2,1,0,0,0,0,0,8,6,3,4,5,8,10,1,5,1,5,not packed
