0,0,0,0,0,1,1,1,0,0,4,5,3,2,0,7,8,4,5,1,0,0,0,0,7,2,1,2,2,5,8,2,3,3,not packed
0,0,0,0,0,0,1,1,0,1,5,5,4,2,0,7,8,4,5,1,0,0,0,0,7,2,1,3,3,5,8,2,3,3,not packed
0,0,0,0,1,0,1,2,0,1,6,3,1,1,0,3,10,0,1,1,0,0,0,0,6,2,5,3,3,-1,8,4,6,-1,not packed
0,0,0,0,1,1,1,2,0,1,7,2,1,1,1,3,10,0,1,1,0,0,0,0,7,2,5,3,2,3,8,3,6,1,not packed
0,0,0,0,0,1,1,1,0,0,3,3,4,2,0,7,8,4,5,1,0,0,0,0,8,2,1,2,3,5,6,2,5,3,not packed
0,0,0,0,0,0,1,1,0,0,3,3,3,2,0,6,7,3,4,1,0,0,0,0,8,2,1,2,2,-1,6,2,5,-1,not packed
0,0,0,0,0,1,1,1,0,3,8,5,1,1,0,4,10,0,1,1,0,0,0,0,7,2,2,3,4,5,7,2,5,6,not packed
0,0,0,0,0,1,1,1,0,0,4,5,4,2,0,7,8,4,5,1,0,0,0,0,7,2,1,2,3,6,8,2,4,3,not packed
0,0,0,0,0,1,1,1,0,0,4,5,3,2,0,7,8,4,5,1,0,0,0,0,8,2,1,2,3,6,8,2,2,3,not packed
0,0,0,0,0,1,1,1,0,0,5,5,4,2,0,6,9,3,4,1,0,0,0,0,7,2,1,3,2,-1,7,3,6,-1,not packed
0,0,0,0,0,1,1,1,0,0,3,3,3,2,0,7,8,4,5,1,0,0,0,0,9,2,1,2,2,6,6,2,5,3,not packed
0,0,0,0,0,0,1,1,0,1,7,2,3,2,0,4,10,2,3,1,0,0,0,0,7,2,1,4,3,-1,8,0,-1,-1,not packed
0,0,0,0,0,0,1,1,0,0,3,4,3,2,0,7,8,4,5,1,0,0,0,0,8,2,1,3,2,6,7,2,4,3,not packed
0,0,0,0,0,1,1,2,0,0,4,3,1,0,0,2,10,0,1,1,0,0,0,0,8,2,5,4,2,-1,6,4,4,-1,not packed
0,0,0,0,0,2,1,1,0,2,5,8,1,1,0,4,10,0,1,1,0,0,0,0,7,2,5,3,4,3,8,1,6,6,not packed
0,0,0,0,0,1,1,1,0,0,4,4,3,2,0,7,8,4,5,1,0,0,0,0,7,2,1,3,2,5,7,2,4,3,not packed
0,1,0,0,1,1,1,2,1,2,7,6,1,1,0,4,10,0,1,1,0,0,0,0,7,2,5,3,3,2,9,1,5,1,not packed
0,0,0,0,0,1,1,1,0,1,5,5,3,2,0,7,8,4,5,1,0,0,0,0,7,2,1,3,2,5,8,2,4,3,not packed
0,0,0,0,0,0,1,1,0,0,3,3,3,2,0,7,8,4,5,1,0,0,0,0,8,2,1,2,3,5,6,2,4,3,not packed
0,0,0,0,0,0,1,1,0,0,3,3,4,2,0,7,8,4,5,1,0,0,0,0,7,2,1,3,2,5,6,2,4,3,not packed
0,0,0,0,0,1,1,1,0,1,5,6,3,2,0,7,8,4,5,1,0,0,0,0,7,2,1,2,2,5,8,2,2,3,not packed
0,0,0,0,1,2,1,2,0,6,9,9,1,1,0,4,10,0,1,1,0,0,0,0,7,2,2,4,3,7,8,4,6,7,not packed
0,0,0,0,0,0,1,1,0,0,3,4,3,2,0,7,8,4,5,1,0,0,0,0,8,2,1,2,3,5,7,2,4,3,not packed
0,1,0,1,0,1,2,1,0,0,4,2,1,1,0,3,10,0,0,1,0,0,0,0,9,1,5,2,-1,0,2,0,2,1,not packed
0,0,0,0,0,1,1,1,0,1,6,5,1,1,0,4,10,0,1,1,0,0,0,0,7,2,4,3,3,7,9,2,4,6,not packed
0,0,0,0,0,0,1,1,0,0,4,4,4,2,0,6,6,3,4,1,0,0,0,0,8,2,1,2,3,-1,4,2,4,-1,not packed
0,0,0,0,0,1,1,1,0,0,3,4,3,2,0,7,8,4,5,1,0,0,0,0,7,2,1,3,2,6,7,2,4,3,not packed
0,0,0,0,0,0,1,1,0,0,3,3,3,2,0,7,8,4,5,1,0,0,0,0,8,2,1,2,2,6,6,2,4,3,not packed
0,0,0,0,0,1,1,1,0,1,5,5,3,2,0,7,8,4,5,1,0,0,0,0,7,2,1,3,3,6,8,2,3,3,not packed
0,0,0,0,0,1,1,1,0,1,6,6,3,2,0,6,7,4,5,1,0,0,0,0,7,2,1,3,2,-1,7,3,-1,-1,not packed
0,0,0,0,0,0,1,1,0,4,9,7,1,1,0,4,10,0,1,1,0,0,0,0,7,2,5,3,3,2,8,4,4,7,not packed
0,0,0,0,0,0,1,1,0,0,3,3,3,2,0,7,8,4,5,1,0,0,0,0,8,2,1,2,2,5,6,2,4,3,not packed
0,0,0,0,0,1,1,1,0,0,3,3,3,2,0,7,8,4,5,1,0,0,0,0,8,2,1,2,2,6,6,2,4,3,not packed
0,0,0,0,0,0,1,1,0,0,3,4,3,2,0,7,8,4,5,1,0,0,0,0,8,2,1,2,2,5,7,2,4,3,not packed
0,1,0,1,0,1,2,1,0,1,6,3,1,1,0,3,10,0,0,1,0,0,0,0,9,1,5,2,-1,7,7,0,2,4,not packed
0,0,0,0,0,0,1,1,0,0,3,3,3,2,0,7,8,4,5,1,0,0,0,0,8,2,1,2,2,5,6,2,4,3,not packed
0,1,0,0,1,2,1,2,1,3,9,6,1,1,0,4,10,0,1,1,0,0,0,0,7,2,5,3,3,2,9,1,4,1,not packed
0,0,0,0,0,0,1,1,0,0,3,4,3,2,0,7,8,4,5,1,0,0,0,0,8,2,1,2,2,6,7,2,4,3,not packed
0,0,0,0,1,1,1,2,0,1,7,3,1,1,0,4,10,0,1,1,0,0,0,0,7,2,5,3,2,7,9,1,5,0,not packed
0,1,0,1,0,0,2,1,0,0,4,2,1,1,0,3,10,0,0,1,0,0,0,0,9,1,5,2,-1,0,2,0,2,1,not packed
0,0,0,0,0,0,1,1,0,4,9,7,1,1,0,4,10,0,1,1,0,0,0,0,7,2,5,3,4,2,8,4,4,7,not packed
0,0,0,0,0,1,1,1,0,1,6,4,1,1,0,4,10,0,1,1,0,0,0,0,7,2,3,3,3,3,9,4,5,6,not packed
0,0,0,0,0,1,1,1,0,2,7,5,1,1,0,4,10,0,1,1,0,0,0,0,7,2,4,3,3,5,9,2,3,7,not packed
0,0,0,0,0,0,1,1,0,1,5,3,1,1,0,4,10,0,1,1,0,0,0,0,7,2,4,3,3,3,8,4,-1,6,not packed
0,0,0,0,0,0,1,1,0,0,3,3,3,2,0,7,8,4,5,1,0,0,0,0,8,2,1,3,2,6,6,2,5,3,not packed
0,0,0,0,0,1,1,1,0,0,3,3,3,2,0,7,8,4,5,1,0,0,0,0,8,2,1,2,2,6,6,2,5,3,not packed
0,0,0,0,0,0,1,1,0,0,6,2,1,1,0,3,10,0,1,1,0,0,0,0,7,1,5,3,3,-1,8,1,5,-1,not packed
0,0,0,0,0,1,1,1,0,1,5,5,3,2,0,7,8,4,5,1,0,0,0,0,7,2,1,2,2,5,8,2,4,3,not packed
0,0,0,0,1,2,1,2,0,8,10,10,1,1,0,4,10,0,1,1,0,0,0,0,6,2,5,3,4,7,9,4,6,7,not packed
0,0,0,0,0,1,1,1,0,0,4,4,3,2,0,7,8,4,5,1,0,0,0,0,8,2,1,3,2,5,7,2,4,3,not packed
0,0,0,0,0,1,1,1,0,0,3,4,3,2,0,7,8,4,5,1,0,0,0,0,8,2,1,2,2,5,7,2,4,3,not packed
0,0,0,0,0,0,1,1,0,0,3,4,3,2,0,7,8,4,5,1,0,0,0,0,8,2,1,3,2,5,7,2,4,3,not packed
0,0,0,0,0,1,1,1,0,2,5,6,4,2,0,7,8,4,5,1,0,0,0,0,7,2,1,2,3,6,5,2,4,3,not packed
0,0,0,0,0,1,1,1,0,0,4,5,3,2,0,7,8,4,5,1,0,0,0,0,8,2,1,2,2,5,7,2,4,3,not packed
0,0,0,0,0,0,1,1,0,1,4,5,1,1,0,4,10,0,1,1,0,0,0,0,7,1,5,4,3,3,7,4,4,5,not packed
0,0,0,0,0,0,1,1,0,0,3,3,3,2,0,7,8,4,5,1,0,0,0,0,8,2,1,2,2,5,6,2,4,3,not packed
0,1,0,0,1,0,1,2,1,0,3,2,1,1,0,5,10,0,1,1,0,0,0,0,9,2,4,3,3,5,4,1,6,0,not packed
0,0,0,0,0,0,1,1,0,0,3,4,3,2,0,7,8,4,5,1,0,0,0,0,8,2,1,2,2,5,7,2,4,3,not packed
0,0,0,0,0,1,1,1,0,5,5,5,5,2,0,7,8,4,5,1,0,0,0,0,7,2,1,3,2,6,0,2,4,3,not packed
0,0,0,0,0,0,1,1,0,1,5,4,1,1,0,4,10,0,1,1,0,0,0,0,8,1,5,3,3,0,8,0,5,4,not packed
0,0,0,0,0,0,1,1,0,0,3,4,3,2,0,7,8,4,5,1,0,0,0,0,8,2,1,2,2,5,7,2,4,3,not packed
0,0,0,0,0,1,1,1,0,1,4,5,3,2,0,7,8,4,5,1,0,0,0,0,8,2,1,3,3,5,7,2,4,3,not packed
0,0,0,0,0,0,1,1,0,0,5,2,2,2,0,4,10,2,3,1,0,0,0,0,7,2,1,3,2,-1,7,0,-1,-1,not packed
0,0,0,0,0,1,1,1,0,0,4,4,3,2,0,7,8,4,5,1,0,0,0,0,8,2,1,2,3,5,7,2,4,3,not packed
0,0,0,0,0,0,1,1,0,0,3,4,3,2,0,7,8,4,5,1,0,0,0,0,8,2,1,2,2,5,7,2,4,3,not packed
0,0,0,0,0,1,1,1,0,0,4,4,3,2,0,7,8,4,5,1,0,0,0,0,7,2,1,2,2,5,7,2,3,3,not packed
0,0,0,0,1,0,1,2,0,0,4,2,1,1,1,3,10,0,1,1,0,0,0,0,7,2,3,3,3,5,7,1,4,1,not packed
0,1,0,0,1,1,1,2,0,0,5,2,1,1,1,3,10,0,1,1,0,0,0,0,7,2,3,3,3,3,8,4,4,2,not packed
0,0,0,0,0,1,1,1,0,0,4,5,3,2,0,7,8,4,5,1,0,0,0,0,7,2,1,2,3,5,7,2,4,3,not packed
0,0,0,0,0,1,1,1,0,2,4,7,1,1,0,3,10,0,1,1,0,0,0,0,9,2,5,3,4,-1,8,4,4,-1,not packed
0,0,0,0,0,1,1,1,0,0,4,4,3,2,0,7,8,4,5,1,0,0,0,0,8,2,1,3,3,6,7,2,4,3,not packed
0,0,0,0,0,1,1,1,0,1,4,5,3,2,0,7,8,4,5,1,0,0,0,0,8,2,1,2,2,5,8,2,4,3,not packed
0,0,0,0,0,1,1,1,0,0,4,4,4,2,0,6,7,4,5,1,0,0,0,0,8,2,1,3,2,-1,4,3,-1,-1,not packed
0,0,0,0,0,1,1,1,0,0,4,5,3,2,0,7,8,4,5,1,0,0,0,0,8,2,1,2,2,5,7,2,4,3,not packed
0,0,0,0,0,0,1,1,0,0,3,3,3,2,0,7,8,4,5,1,0,0,0,0,9,2,1,2,2,5,6,2,3,3,not packed
0,0,0,0,0,1,1,1,0,0,4,5,3,2,0,7,8,4,5,1,0,0,0,0,7,2,1,2,3,5,8,2,3,3,not packed
0,0,0,0,0,1,1,1,0,0,3,4,3,2,0,7,8,4,5,1,0,0,0,0,8,2,1,3,2,6,7,2,6,3,not packed
0,0,0,0,0,1,1,1,0,1,4,5,3,2,0,7,8,4,5,1,0,0,0,0,7,2,1,2,2,5,8,2,4,3,not packed
0,0,0,0,0,1,1,1,0,0,5,4,1,1,0,4,10,0,1,1,0,0,0,0,9,2,5,3,3,0,8,4,6,0,not packed
0,0,0,0,0,1,1,1,0,0,4,4,3,2,0,7,8,4,5,1,0,0,0,0,7,2,1,2,2,5,7,2,3,3,not packed
0,0,0,0,0,1,1,1,0,1,5,6,3,2,0,7,8,4,5,1,0,0,0,0,7,2,1,3,3,6,8,2,3,3,not packed
0,1,0,0,1,0,1,2,1,0,3,2,1,1,0,5,10,0,1,1,0,0,0,0,8,2,5,3,3,5,3,1,6,0,not packed
0,0,0,0,0,1,1,1,0,0,4,4,1,1,0,4,10,0,1,1,0,0,0,0,8,2,5,3,3,4,9,4,4,3,not packed
0,0,0,0,0,0,1,1,0,0,4,5,3,2,0,7,8,4,5,1,0,0,0,0,8,2,1,3,3,5,7,2,3,3,not packed
0,0,0,0,0,0,1,1,0,0,3,4,3,2,0,7,8,4,5,1,0,0,0,0,7,2,1,2,2,5,7,2,3,3,not packed
0,0,0,0,0,1,1,1,0,0,3,3,3,2,0,7,8,4,5,1,0,0,0,0,7,2,1,2,2,6,6,2,3,3,not packed
0,0,0,0,1,1,1,2,0,3,9,5,1,1,0,4,10,0,1,1,0,0,0,0,7,2,4,3,3,4,9,4,6,1,not packed
0,0,0,0,0,0,1,1,0,1,4,5,3,2,0,7,8,4,5,1,0,0,0,0,7,2,1,3,3,5,7,2,4,3,not packed
0,0,0,0,0,0,1,1,0,0,3,3,1,1,0,4,10,0,1,1,0,0,0,0,8,2,5,3,4,8,8,4,5,4,not packed
0,0,0,0,1,2,1,2,0,6,9,8,1,1,0,4,10,0,1,1,0,0,0,0,7,2,5,3,3,3,8,4,4,7,not packed
0,0,0,0,0,1,1,1,0,2,4,7,1,1,0,3,10,0,1,1,0,0,0,0,8,2,5,3,4,-1,8,4,4,-1,not packed
0,0,0,0,0,1,1,1,0,0,4,5,3,2,0,7,8,4,5,1,0,0,0,0,8,2,1,3,2,5,7,2,3,3,not packed
0,0,0,0,0,0,1,1,0,0,4,4,3,2,0,7,8,4,5,1,0,0,0,0,8,2,1,2,2,5,7,2,3,3,not packed
0,0,0,0,0,0,1,1,0,0,2,2,1,1,0,4,10,0,1,1,0,0,0,0,8,2,5,2,3,7,2,1,6,1,not packed
0,0,0,0,0,0,1,1,0,7,10,7,1,1,1,8,10,1,2,1,0,0,0,0,5,7,3,3,4,8,9,4,-1,7,not packed
0,0,0,0,0,0,1,1,0,0,4,5,3,2,0,7,8,4,5,1,0,0,0,0,7,2,1,2,3,5,8,2,4,3,not packed
0,0,0,0,0,1,1,1,0,0,3,4,3,2,0,7,8,4,5,1,0,0,0,0,7,2,1,2,2,6,7,2,3,3,not packed
0,0,0,0,0,1,1,1,0,0,4,3,2,2,0,5,10,2,3,1,0,0,0,0,8,2,1,3,3,-1,8,1,-1,-1,not packed
0,0,0,0,0,1,1,1,0,0,3,3,3,2,0,6,7,3,4,1,0,0,0,0,7,2,1,3,2,-1,7,2,2,-1,not packed
0,0,0,0,0,1,1,1,0,0,4,5,3,2,0,7,8,4,5,1,0,0,0,0,8,2,1,2,2,6,8,2,3,3,not packed
0,0,0,0,1,2,1,2,0,7,9,10,1,1,0,4,10,0,1,1,0,0,0,0,7,2,2,4,3,8,1,4,4,5,not packed
0,1,0,0,1,1,1,2,1,2,7,6,1,1,0,4,10,0,1,1,0,0,0,0,7,2,5,3,3,2,9,4,4,1,not packed
0,0,0,0,0,0,1,1,0,0,3,3,3,2,0,7,8,4,5,1,0,0,0,0,8,2,1,2,2,6,6,2,4,3,not packed
0,0,0,0,0,1,1,1,0,0,3,3,3,2,0,7,8,4,5,1,0,0,0,0,8,2,1,2,2,5,6,2,4,3,not packed
0,0,0,0,1,2,1,2,0,7,9,9,1,1,0,4,10,0,1,1,0,0,0,0,6,2,2,3,4,7,4,4,5,7,not packed
0,1,0,0,1,2,1,2,1,6,8,9,1,1,0,4,10,0,1,1,0,0,0,0,7,2,3,3,3,8,8,1,5,2,not packed
0,0,0,0,0,0,1,1,0,1,4,5,1,1,0,4,10,0,1,1,0,0,0,0,8,2,2,4,3,7,3,1,2,3,not packed
0,1,0,0,1,2,1,2,1,2,8,6,1,1,0,4,10,0,1,1,0,0,0,0,7,2,4,3,3,2,9,1,4,1,not packed
0,0,0,0,0,1,1,1,0,0,3,3,3,2,0,7,8,4,5,1,0,0,0,0,7,2,1,2,2,6,6,2,4,3,not packed
0,1,0,1,0,0,2,1,0,0,4,2,1,1,0,3,10,0,0,1,0,0,0,0,9,1,5,2,-1,0,3,0,2,1,not packed
0,0,0,0,0,0,1,1,0,0,3,3,3,2,0,7,8,4,5,1,0,0,0,0,9,2,1,2,2,5,6,2,3,3,not packed
0,0,0,0,0,0,1,1,0,0,3,3,4,2,0,7,8,4,5,1,0,0,0,0,8,2,1,2,2,6,6,2,3,3,not packed
0,0,0,0,0,0,1,0,0,1,7,3,1,1,2,5,5,3,4,1,0,1,1,0,7,3,1,-1,-1,1,7,4,-1,4,not packed
0,0,0,0,0,0,1,1,0,0,4,4,3,2,0,7,8,4,5,1,0,0,0,0,7,2,1,2,2,5,7,2,4,3,not packed
0,0,0,0,0,1,1,1,0,0,4,5,3,2,0,7,8,4,5,1,0,0,0,0,8,2,1,2,2,5,7,2,4,3,not packed
0,0,0,0,0,0,1,1,0,0,3,4,3,2,0,7,8,4,5,1,0,0,0,0,7,2,1,2,2,5,6,2,4,3,not packed
0,1,0,0,1,0,1,2,1,0,2,3,1,1,0,5,10,0,1,1,0,0,0,0,9,2,5,3,3,1,2,1,6,3,not packed
0,0,0,0,0,0,1,1,0,0,3,4,3,2,0,7,8,4,5,1,0,0,0,0,8,2,1,2,3,5,7,3,6,3,not packed
0,0,0,0,1,2,1,2,0,6,3,10,1,0,1,3,10,0,1,1,0,0,0,0,8,2,5,2,4,8,9,2,6,4,not packed
0,0,0,0,0,0,1,1,0,0,3,3,3,2,0,7,8,4,5,1,0,0,0,0,8,2,1,2,2,5,6,2,5,3,not packed
0,0,0,0,0,0,1,1,0,0,3,3,3,2,0,7,8,4,5,1,0,0,0,0,8,2,1,3,2,6,6,2,6,3,not packed
0,0,0,0,0,1,1,1,0,0,3,3,3,2,0,7,8,4,5,1,0,0,0,0,7,2,1,3,2,6,6,2,6,3,not packed
0,0,0,0,0,0,1,1,0,3,4,7,2,1,0,4,9,1,2,1,0,0,0,0,6,3,1,3,4,7,0,4,4,5,not packed
0,0,0,0,0,1,1,1,0,0,3,4,3,2,0,7,8,4,5,1,0,0,0,0,8,2,1,2,3,5,7,2,4,3,not packed
0,0,0,0,0,1,1,1,0,0,3,3,3,2,0,7,8,4,5,1,0,0,0,0,8,2,1,2,3,5,6,2,5,3,not packed
0,0,0,0,0,1,1,1,0,0,3,4,3,2,0,7,8,4,5,1,0,0,0,0,8,2,1,2,3,5,7,2,4,3,not packed
0,0,0,0,0,1,1,1,0,1,5,5,4,2,0,6,7,4,5,1,0,0,0,0,8,2,1,3,4,-1,2,3,-1,-1,not packed
0,0,0,0,0,1,1,1,0,1,4,5,3,2,0,7,8,4,5,1,0,0,0,0,8,2,1,2,3,5,8,2,4,3,not packed
0,0,0,0,0,2,1,1,0,2,4,7,1,1,0,3,10,0,1,1,0,0,0,0,9,2,5,3,4,-1,8,4,2,-1,not packed
0,0,0,0,0,0,1,1,0,1,7,4,1,1,0,4,10,0,1,1,0,0,0,0,8,1,5,3,3,0,8,4,4,0,not packed
0,0,0,0,0,0,1,1,0,0,4,4,3,2,0,7,8,4,5,1,0,0,0,0,7,2,1,2,2,5,7,2,4,3,not packed
0,0,0,0,0,1,1,1,0,0,3,4,3,2,0,7,8,4,5,1,0,0,0,0,7,2,1,3,2,5,7,2,4,3,not packed
0,0,0,0,0,0,1,1,0,0,3,4,3,2,0,7,8,4,5,1,0,0,0,0,8,2,1,2,2,6,7,2,3,3,not packed
0,0,0,0,0,1,1,1,0,0,3,3,2,2,0,6,7,3,4,1,0,0,0,0,8,2,1,3,2,-1,2,4,4,-1,not packed
0,0,0,0,0,2,1,1,0,5,5,9,1,1,0,4,10,0,1,1,0,0,0,0,7,2,5,4,4,4,6,4,4,4,not packed
0,0,0,0,0,1,1,1,0,1,5,3,4,2,0,5,9,3,4,1,0,0,0,0,7,2,1,3,2,-1,8,1,-1,-1,not packed
0,0,0,0,0,0,1,1,0,6,10,7,1,1,0,4,10,0,1,1,0,0,0,0,7,2,5,4,3,0,8,4,6,0,not packed
0,0,0,0,0,1,1,1,0,0,4,3,1,1,0,4,10,0,1,1,0,0,0,0,8,1,5,3,3,7,7,0,5,3,not packed
0,0,0,0,0,1,1,1,0,0,3,3,2,2,0,6,10,3,4,1,0,0,0,0,9,2,1,2,2,0,1,2,-1,0,not packed
0,0,0,0,0,1,1,1,0,0,3,3,3,2,0,7,8,4,5,1,0,0,0,0,9,2,1,2,2,5,6,2,4,3,not packed
0,0,0,0,0,1,1,1,0,0,4,4,3,2,0,7,8,4,5,1,0,0,0,0,8,2,1,2,2,6,7,2,4,3,not packed
0,0,0,0,0,1,1,1,0,0,3,3,3,2,0,7,8,4,5,1,0,0,0,0,9,2,1,2,2,6,6,2,6,3,not packed
0,0,0,0,1,1,1,2,0,0,4,2,1,1,1,3,10,0,1,1,0,0,0,0,7,2,5,3,3,4,8,0,4,2,not packed
0,0,0,0,0,1,1,1,0,1,5,4,1,1,0,4,10,0,1,1,0,0,0,0,7,2,4,3,3,3,7,2,4,6,not packed
0,0,0,0,0,1,1,1,0,1,7,5,1,1,0,4,10,0,1,1,0,0,0,0,7,2,4,3,3,6,9,2,4,6,not packed
0,0,0,0,0,1,1,1,0,0,4,5,3,2,0,7,8,4,5,1,0,0,0,0,8,2,1,2,2,5,8,2,4,3,not packed
0,0,0,0,0,1,1,1,0,0,4,5,4,2,0,7,8,4,5,1,0,0,0,0,8,2,1,2,2,6,8,2,3,3,not packed
0,0,0,0,0,0,1,1,0,1,4,4,4,2,0,7,8,4,5,1,0,0,0,0,8,2,1,3,3,6,1,2,4,3,not packed
0,0,0,0,0,0,1,1,0,4,4,4,5,2,0,5,10,2,3,1,0,0,0,0,8,2,1,3,3,-1,0,0,-1,-1,not packed
0,1,0,0,1,2,1,2,1,3,9,6,1,1,0,4,10,0,1,1,0,0,0,0,7,2,5,3,3,2,9,4,4,1,not packed
0,0,0,0,0,0,1,1,0,6,10,8,1,0,2,4,10,0,1,1,0,0,0,0,7,2,5,4,4,6,9,4,4,7,not packed
0,0,0,0,0,1,1,1,0,0,4,5,3,2,0,7,8,4,5,1,0,0,0,0,8,2,1,2,3,5,8,2,4,3,not packed
0,0,0,0,0,0,1,1,0,7,10,9,1,1,2,5,5,3,4,1,0,1,1,0,6,3,1,-1,-1,8,9,4,-1,7,not packed
0,0,0,0,1,0,1,2,0,0,3,2,1,1,0,4,10,0,1,1,0,0,0,0,8,2,5,2,2,7,5,0,5,0,not packed
0,0,0,0,0,0,1,1,0,0,4,4,3,2,0,7,8,4,5,1,0,0,0,0,8,2,1,2,3,5,7,2,4,3,not packed
0,0,0,0,0,0,1,1,0,0,3,3,3,2,0,7,8,4,5,1,0,0,0,0,8,2,1,3,2,5,6,2,6,3,not packed
0,0,0,0,0,0,1,1,0,1,7,2,3,2,0,4,10,2,3,1,0,0,0,0,7,2,1,3,2,-1,8,0,-1,-1,not packed
0,0,0,0,0,0,1,1,0,0,3,3,3,2,0,7,8,4,5,1,0,0,0,0,8,2,1,2,2,5,7,2,3,3,not packed
0,0,0,0,0,0,1,1,0,0,3,3,3,2,0,7,8,4,5,1,0,0,0,0,8,2,1,3,2,5,6,2,6,3,not packed
0,0,0,0,0,0,1,1,0,0,3,4,3,2,0,7,8,4,5,1,0,0,0,0,8,2,1,2,2,5,7,2,4,3,not packed
0,0,0,0,0,0,1,1,0,0,3,4,1,1,0,4,10,0,1,1,0,0,0,0,9,2,5,2,3,1,4,2,2,4,not packed
0,1,0,0,1,2,1,2,1,6,9,9,1,1,0,4,10,0,1,1,0,0,0,0,7,2,2,3,3,1,4,1,4,1,not packed
0,0,0,0,0,0,1,1,0,0,3,2,1,1,0,4,10,0,1,1,0,0,0,0,9,1,5,2,2,0,2,1,4,3,not packed
0,0,0,0,0,0,1,1,0,6,10,7,1,1,0,4,10,0,1,1,0,0,0,0,7,2,5,4,3,1,9,4,4,6,not packed
0,0,0,0,0,1,1,1,0,0,3,4,3,2,0,7,8,4,5,1,0,0,0,0,7,2,1,2,2,6,7,2,4,3,not packed
0,0,0,0,0,1,1,1,0,1,3,4,4,2,0,7,8,4,5,1,0,0,0,0,8,2,1,2,3,6,5,2,3,3,not packed
0,0,0,0,0,1,1,1,0,0,4,5,3,2,0,7,8,4,5,1,0,0,0,0,8,2,1,2,2,5,8,2,3,3,not packed
0,1,0,0,1,1,1,2,1,2,7,6,1,1,0,4,10,0,1,1,0,0,0,0,7,2,5,3,3,2,9,1,4,1,not packed
0,0,0,0,0,1,1,1,0,0,3,3,3,2,0,7,8,4,5,1,0,0,0,0,8,2,1,2,2,5,7,2,2,3,not packed
0,0,0,0,0,0,1,1,0,0,4,4,3,2,0,7,8,4,5,1,0,0,0,0,8,2,1,3,3,6,7,2,4,3,not packed
0,0,0,0,0,1,1,1,0,0,4,4,3,2,0,7,8,4,5,1,0,0,0,0,8,2,1,2,2,5,7,2,4,3,not packed
0,0,0,0,0,1,1,1,0,1,5,6,3,2,0,7,8,4,5,1,0,0,0,0,7,2,1,2,3,6,8,2,3,3,not packed
0,0,0,0,0,0,1,1,0,1,7,5,1,1,0,4,10,0,1,1,0,0,0,0,7,2,4,3,3,7,9,4,-1,6,not packed
0,0,0,0,0,1,1,1,0,1,5,6,3,2,0,7,8,4,5,1,0,0,0,0,7,2,1,2,2,6,8,2,6,3,not packed
0,0,0,0,0,1,1,1,0,1,5,6,3,2,0,7,8,4,5,1,0,0,0,0,8,2,1,2,2,6,8,2,2,3,not packed
0,1,0,0,1,1,1,2,1,2,8,6,1,1,0,4,10,0,1,1,0,0,0,0,7,2,5,3,3,2,9,1,4,1,not packed
0,0,0,0,0,0,1,1,0,0,3,4,3,2,0,7,8,4,5,1,0,0,0,0,8,2,1,2,2,6,7,2,3,3,not packed
0,0,0,0,0,0,1,1,0,1,7,5,1,1,0,4,10,0,1,1,0,0,0,0,7,2,5,3,3,3,8,2,-1,6,not packed
0,0,0,0,0,1,1,1,0,1,5,4,1,1,2,2,3,0,1,1,0,1,1,0,7,2,4,-1,-1,3,7,4,4,5,not packed
0,0,0,0,0,0,1,2,0,9,10,10,1,1,2,9,9,3,4,1,0,1,1,0,8,3,1,3,4,8,9,4,4,7,not packed
0,1,0,0,1,1,1,2,0,1,8,2,1,1,1,3,10,0,1,1,0,0,0,0,7,2,4,3,3,5,9,4,4,1,not packed
0,1,0,0,1,1,1,2,1,2,8,6,1,1,0,4,10,0,1,1,0,0,0,0,7,2,5,3,3,2,8,1,5,1,not packed
0,0,0,0,0,1,1,1,0,0,3,4,3,2,0,7,8,4,5,1,0,0,0,0,8,2,1,2,3,5,7,2,2,3,not packed
0,0,0,0,0,1,1,1,0,0,4,4,3,2,0,7,8,4,5,1,0,0,0,0,8,2,1,2,2,5,7,2,3,3,not packed
0,0,0,0,0,0,1,1,0,0,3,3,3,2,0,7,8,4,5,1,0,0,0,0,8,2,1,2,2,5,6,2,4,3,not packed
0,0,0,0,0,1,1,1,0,0,3,3,4,2,0,7,8,4,5,1,0,0,0,0,7,2,1,2,3,5,6,2,4,3,not packed
0,0,0,0,1,1,1,2,0,0,4,2,1,1,1,3,10,0,1,1,0,0,0,0,7,2,3,3,3,4,8,1,4,4,not packed
0,0,0,0,0,1,1,1,0,1,6,5,1,1,0,4,10,0,1,1,0,0,0,0,7,2,4,3,3,5,9,2,4,6,not packed
0,0,0,0,0,2,1,1,0,4,8,8,1,1,0,4,10,0,1,1,0,0,0,0,8,2,5,3,4,1,8,4,5,5,not packed
0,1,0,0,1,1,1,2,1,3,8,6,1,1,0,1,2,3,4,1,0,1,1,1,1,6,3,-1,-1,2,5,1,-1,1,yoda-protector
0,1,0,0,1,2,1,2,0,7,9,10,1,1,0,1,2,3,4,1,0,1,1,1,1,6,3,-1,-1,8,8,1,-1,6,yoda-protector
0,1,0,0,1,2,1,2,0,4,9,7,1,0,0,1,2,3,4,1,0,1,1,1,1,6,3,-1,-1,2,6,1,-1,1,yoda-protector
0,1,0,0,1,2,1,2,1,8,10,10,1,1,0,1,2,3,4,1,0,1,1,1,1,6,3,-1,-1,9,9,1,-1,4,yoda-protector
